Country,Lat,Long,DD,DMS,DDM
Afghanistan,33.94,67.71,33.939° N 67.71° E,"33° 56' 21"" N 67° 42' 36"" E",33° 56.34' N 67° 42.6' E
Aland Islands,60.18,19.92,60.179° N 19.916° E,"60° 10' 43"" N 19° 54' 56"" E",60° 10.74' N 19° 54.96' E
Albania,41.15,20.17,41.153° N 20.168° E,"41° 9' 12"" N 20° 10' 6"" E",41° 9.18' N 20° 10.08' E
Algeria,28.03,1.66,28.034° N 1.66° E,"28° 2' 2"" N 1° 39' 35"" E",28° 2.04' N 1° 39.6' E
American Samoa,-14.27,-170.13,14.271° S 170.132° W,"14° 16' 15"" S 170° 7' 56"" W",14° 16.26' S 170° 7.92' W
Andorra,42.55,1.6,42.546° N 1.602° E,"42° 32' 46"" N 1° 36' 6"" E",42° 32.76' N 1° 36.12' E
Angola,-11.2,17.87,11.203° S 17.874° E,"11° 12' 10"" S 17° 52' 26"" E",11° 12.18' S 17° 52.44' E
Anguilla,18.22,-63.07,18.221° N 63.069° W,"18° 13' 14"" N 63° 4' 7"" W",18° 13.26' N 63° 4.14' W
Antigua And Barbuda,17.06,-61.8,17.061° N 61.796° W,"17° 3' 39"" N 61° 47' 47"" W",17° 3.66' N 61° 47.76' W
Argentina,-38.42,-63.62,38.416° S 63.617° W,"38° 24' 58"" S 63° 37' 0"" W",38° 24.96' S 63° 37.02' W
Armenia,40.07,45.04,40.069° N 45.038° E,"40° 4' 9"" N 45° 2' 17"" E",40° 4.14' N 45° 2.28' E
Aruba,12.52,-69.97,12.521° N 69.968° W,"12° 31' 16"" N 69° 58' 6"" W",12° 31.26' N 69° 58.08' W
Australia,-25.27,133.78,25.274° S 133.775° E,"25° 16' 28"" S 133° 46' 30"" E",25° 16.44' S 133° 46.5' E
Austria,47.52,14.55,47.516° N 14.55° E,"47° 30' 58"" N 14° 33' 0"" E",47° 30.96' N 14° 33' E
Azerbaijan,40.14,47.58,40.143° N 47.577° E,"40° 8' 35"" N 47° 34' 37"" E",40° 8.58' N 47° 34.62' E
Bahrain,25.93,50.64,25.93° N 50.638° E,"25° 55' 49"" N 50° 38' 16"" E",25° 55.8' N 50° 38.28' E
Bangladesh,23.68,90.36,23.685° N 90.356° E,"23° 41' 6"" N 90° 21' 23"" E",23° 41.1' N 90° 21.36' E
Barbados,13.19,-59.54,13.194° N 59.543° W,"13° 11' 38"" N 59° 32' 36"" W",13° 11.64' N 59° 32.58' W
Belarus,53.71,27.95,53.71° N 27.953° E,"53° 42' 35"" N 27° 57' 12"" E",53° 42.6' N 27° 57.18' E
Belgium,50.5,4.47,50.504° N 4.47° E,"50° 30' 14"" N 4° 28' 12"" E",50° 30.24' N 4° 28.2' E
Belize,17.19,-88.5,17.19° N 88.498° W,"17° 11' 24"" N 88° 29' 52"" W",17° 11.4' N 88° 29.88' W
Benin,9.31,2.32,9.308° N 2.316° E,"9° 18' 28"" N 2° 18' 57"" E",9° 18.48' N 2° 18.96' E
Bermuda,32.32,-64.76,32.321° N 64.757° W,"32° 19' 17"" N 64° 45' 27"" W",32° 19.26' N 64° 45.42' W
Bhutan,27.51,90.43,27.514° N 90.434° E,"27° 30' 51"" N 90° 26' 1"" E",27° 30.84' N 90° 26.04' E
Bolivia,-16.29,-63.59,16.29° S 63.589° W,"16° 17' 25"" S 63° 35' 19"" W",16° 17.4' S 63° 35.34' W
Bonaire,12.2,-68.26,12.202° N 68.262° W,"12° 12' 7"" N 68° 15' 45"" W",12° 12.12' N 68° 15.72' W
Bosnia And Herzegovina,43.92,17.68,43.916° N 17.679° E,"43° 54' 57"" N 17° 40' 45"" E",43° 54.96' N 17° 40.74' E
Botswana,-22.33,24.68,22.328° S 24.685° E,"22° 19' 43"" S 24° 41' 6"" E",22° 19.68' S 24° 41.1' E
Bouvet Island,-54.42,3.41,54.423° S 3.413° E,"54° 25' 24"" S 3° 24' 47"" E",54° 25.38' S 3° 24.78' E
Brazil,-14.24,-51.93,14.235° S 51.925° W,"14° 14' 6"" S 51° 55' 31"" W",14° 14.1' S 51° 55.5' W
British Indian Ocean Territory,-6.34,71.88,6.343° S 71.877° E,"6° 20' 35"" S 71° 52' 35"" E",6° 20.58' S 71° 52.62' E
