Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Country,Code,Year,GDP-Growth,GDP-Per-Capita,GDP,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
36,AFG,Afghanistan,Kabul,Asia,41128771,38972230,33753499,28189672,19542982,10694796,12486631,10752971,652230,63.0587,1.0257,0.52,Afghanistan,AFG,2008,14.3624414596815,543.303041863931,15856574731.4411,China,Beijing,Afghanistan,AFG,0,0,1
36,AFG,Afghanistan,Kabul,Asia,41128771,38972230,33753499,28189672,19542982,10694796,12486631,10752971,652230,63.0587,1.0257,0.52,Afghanistan,AFG,2012,2.72454336495028,583.656192833121,19477070577.8584,Great Britain,London,Afghanistan,AFG,0,0,1
34,DZA,Algeria,Algiers,Africa,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,2381741,18.8531,1.0164,0.56,Algeria,DZA,1984,0.400001002558241,3848.90393465265,88918875921.9762,United States,Los Angeles,Algeria,ALG,0,0,2
34,DZA,Algeria,Algiers,Africa,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,2381741,18.8531,1.0164,0.56,Algeria,DZA,1992,-0.899996548849487,3181.55430622611,89763654164.5903,Spain,Barcelona,Algeria,ALG,1,0,1
34,DZA,Algeria,Algiers,Africa,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,2381741,18.8531,1.0164,0.56,Algeria,DZA,1996,5.10000361050234,3413.49865779987,103062925254.282,United States,Atlanta,Algeria,ALG,2,0,1
34,DZA,Algeria,Algiers,Africa,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,2381741,18.8531,1.0164,0.56,Algeria,DZA,2000,5.60932318983274,3771.00957121739,120125920931.173,Australia,Sydney,Algeria,ALG,1,1,3
34,DZA,Algeria,Algiers,Africa,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,2381741,18.8531,1.0164,0.56,Algeria,DZA,2008,3.63414535334246,4480.78577696483,161207268655.392,China,Beijing,Algeria,ALG,0,1,1
34,DZA,Algeria,Algiers,Africa,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,2381741,18.8531,1.0164,0.56,Algeria,DZA,2012,3.78912121166823,4698.66471062642,182889354514.369,Great Britain,London,Algeria,ALG,1,0,0
33,ARG,Argentina,Buenos Aires,South America,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,16.3683,1.0052,0.57,Argentina,ARG,1960,-0.852021523481966,5711.17933827409,120808873523.837,Italy,Rome,Argentina,ARG,0,1,1
33,ARG,Argentina,Buenos Aires,South America,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,16.3683,1.0052,0.57,Argentina,ARG,1964,-0.659726171593704,6151.92602594926,138381639345.114,Japan,Tokyo,Argentina,ARG,0,1,0
33,ARG,Argentina,Buenos Aires,South America,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,16.3683,1.0052,0.57,Argentina,ARG,1968,3.04564331900328,7084.18147848151,169174227931.948,Mexico,Mexico City,Argentina,ARG,0,0,2
33,ARG,Argentina,Buenos Aires,South America,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,16.3683,1.0052,0.57,Argentina,ARG,1972,5.53380439483222,7740.85592849079,197100011389.723,West Germany,Munich,Argentina,ARG,0,1,0
33,ARG,Argentina,Buenos Aires,South America,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,16.3683,1.0052,0.57,Argentina,ARG,1988,-2.46721377637459,6245.70857662189,203726588308.536,South Korea,Seoul,Argentina,ARG,0,1,1
33,ARG,Argentina,Buenos Aires,South America,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,16.3683,1.0052,0.57,Argentina,ARG,1992,5.83620070368526,7988.64461361092,274830720366.623,Spain,Barcelona,Argentina,ARG,0,0,1
33,ARG,Argentina,Buenos Aires,South America,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,16.3683,1.0052,0.57,Argentina,ARG,1996,3.85017885156229,8772.06320960578,316350941905.026,United States,Atlanta,Argentina,ARG,0,2,1
33,ARG,Argentina,Buenos Aires,South America,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,16.3683,1.0052,0.57,Argentina,ARG,2000,-10.8944848285903,6854.29408086406,258281789127.305,Australia,Sydney,Argentina,ARG,0,2,2
33,ARG,Argentina,Buenos Aires,South America,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,16.3683,1.0052,0.57,Argentina,ARG,2004,8.04715150043027,9174.50245831661,360465082297.96,Greece,Athens,Argentina,ARG,2,0,4
33,ARG,Argentina,Buenos Aires,South America,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,16.3683,1.0052,0.57,Argentina,ARG,2008,10.1253981561002,10385.9644319555,423627422092.49,China,Beijing,Argentina,ARG,2,0,4
33,ARG,Argentina,Buenos Aires,South America,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,16.3683,1.0052,0.57,Argentina,ARG,2012,-2.51261532081396,10398.6940069464,443707073929.401,Great Britain,London,Argentina,ARG,1,1,2
140,ARM,Armenia,Yerevan,Asia,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,29743,93.4831,0.9962,0.03,Armenia,ARM,1996,7.29999998931331,1267.57405942099,3940491000.05925,United States,Atlanta,Armenia,ARM,1,1,0
