Year,Name,Gold,Silver,Bronze,Total,GDP,Total Population
1896,Greece,10,18,19,47,,
1896,United States,11,7,2,20,,
1896,Germany,6,5,2,13,,
1896,France,5,4,2,11,,
1896,Great Britain,2,3,2,7,,
1896,Denmark,1,2,3,6,,
1896,Hungary,2,1,3,6,,
1896,Austria,2,1,2,5,,
1896,Switzerland,1,2,0,3,,
1896,Australia,2,0,0,2,,
1896,Mixed team,1,0,1,2,,
1900,France,27,38,37,102,,
1900,United States,19,14,15,48,,
1900,Great Britain,15,8,9,32,,
1900,Mixed team,8,5,6,19,,
1900,Belgium,6,7,4,17,,
1900,Switzerland,6,2,1,9,,
1900,Germany,4,3,2,9,,
1900,Denmark,1,3,2,6,,
1900,Austria,0,3,3,6,,
1900,Italy,3,2,0,5,,
1900,Norway,0,2,3,5,,
1900,Netherlands,0,2,3,5,,
1900,Australia,2,0,3,5,,
1900,Hungary,1,2,2,5,,
1900,India,0,2,0,2,,
1900,Cuba,1,1,0,2,,
1900,Canada,1,0,1,2,,
1900,Bohemia,0,1,1,2,,
1900,Luxembourg,1,0,0,1,,
1900,Spain,1,0,0,1,,
1900,Sweden,0,0,1,1,,
1904,United States,76,78,77,231,,
1904,Germany,4,5,6,15,,
1904,Canada,4,1,1,6,,
1904,Australia,0,3,1,4,,
1904,Hungary,2,1,1,4,,
1904,Mixed team,2,1,1,4,,
1904,Austria,1,1,1,3,,
1904,Cuba,3,0,0,3,,
1904,Switzerland,1,0,2,3,,
1904,Great Britain,1,1,0,2,,
1904,Greece,1,0,1,2,,
1904,Norway,2,0,0,2,,
1904,France,0,1,0,1,,
1908,Great Britain,56,51,39,146,,
1908,United States,23,12,12,47,,
1908,Sweden,8,6,11,25,,
1908,France,5,5,9,19,,
1908,Canada,3,3,10,16,,
1908,Germany,3,5,5,13,,
1908,Hungary,3,4,2,9,,
1908,Belgium,1,5,2,8,,
1908,Norway,2,3,3,8,,
1908,Australasia,1,2,2,5,,
1908,Finland,1,1,3,5,,
1908,Denmark,0,2,3,5,,
1908,Italy,2,2,0,4,,
1908,Greece,0,3,1,4,,
1908,Russian Empire,1,2,0,3,,
1908,Bohemia,0,0,2,2,,
1908,Netherlands,0,0,2,2,,
1908,South Africa,1,1,0,2,,
1908,Austria,0,0,1,1,,
1912,Sweden,24,24,17,65,,
1912,United States,26,19,19,64,,
1912,Great Britain,10,15,16,41,,
1912,Finland,9,8,9,26,,
1912,Germany,6,13,7,26,,
1912,France,7,5,3,15,,
1912,Denmark,1,6,5,12,,
1912,Norway,4,1,5,10,,
1912,Italy,5,1,2,8,,
1912,Canada,3,2,3,8,,
1912,Hungary,3,2,3,8,,
1912,Australasia,2,2,3,7,,
1912,South Africa,4,2,0,6,,
1912,Belgium,2,1,3,6,,
1912,Russian Empire,0,2,3,5,,
1912,Austria,0,2,2,4,,
1912,Netherlands,0,0,3,3,,
1912,Greece,1,0,1,2,,
1912,Switzerland,1,0,0,1,,
1920,United States,41,27,27,95,,
1920,Sweden,19,20,25,64,,
1920,Great Britain,14,16,13,43,,
1920,Belgium,16,12,14,42,,
1920,France,9,19,13,41,,
1920,Finland,15,10,9,34,,
1920,Norway,13,9,9,31,,
1920,Italy,13,5,5,23,,
1920,Denmark,3,9,1,13,,
1920,Netherlands,4,2,5,11,,
1920,Switzerland,2,2,7,11,,
1920,South Africa,3,4,3,10,,
1920,Canada,3,3,3,9,,
1920,Estonia,1,2,0,3,,
1920,Brazil,1,1,1,3,,
1920,Australia,0,2,1,3,,
1920,Czechoslovakia,0,0,2,2,,
1920,Japan,0,2,0,2,,
1920,Spain,0,2,0,2,,
1920,Greece,0,1,0,1,,
1920,Luxembourg,0,1,0,1,,
1920,New Zealand,0,0,1,1,,
1924,United States,45,27,27,99,,
1924,France,13,15,10,38,,
1924,Finland,14,13,10,37,,
