Country,Year,GDP
Argentina,1960,120808873523.837
Australia,1960,206734197138.169
Austria,1960,99489765786.6089
Burundi,1960,561670811.689447
Belgium,1960,133384673232.843
Benin,1960,1260456133.07626
Burkina Faso,1960,1273698494.39634
Bangladesh,1960,19977746684.2347
"Bahamas, The",1960,2374441850.10685
Belize,1960,108586813.006536
Bermuda,1960,1351706620.55154
Bolivia,1960,3962959042.97599
Brazil,1960,286196738836.702
Botswana,1960,232549242.614046
Central African Republic,1960,909172126.057338
Canada,1960,354403586127.522
Chile,1960,32161438540.171
China,1960,88083493564.6418
Cote d'Ivoire,1960,4773425414.90124
Cameroon,1960,5161841479.88163
"Congo, Dem. Rep.",1960,17116978249.5252
"Congo, Rep.",1960,1690687744.44949
Colombia,1960,41571030699.8182
Costa Rica,1960,4161582479.7019
Denmark,1960,108492979143.333
Dominican Republic,1960,4997650742.70433
Algeria,1960,19036113335.2005
East Asia & Pacific (excluding high income),1960,229115939964.537
Early-demographic dividend,1960,1213622499735.24
East Asia & Pacific,1960,1502471733406.35
Ecuador,1960,11215707027.0026
"Egypt, Arab Rep.",1960,16825816385.7968
Euro area,1960,3258735898098.59
Spain,1960,275635620736.643
European Union,1960,4572054697795.06
Finland,1960,59862320225.3108
Fiji,1960,748552617.958705
France,1960,684477080169.693
Gabon,1960,2694599217.24474
United Kingdom,1960,753075094121.114
Ghana,1960,7544822191.56204
Greece,1960,63749159946.9305
Guatemala,1960,6646722421.52514
Guyana,1960,1028043418.35141
High income,1960,10056348690149.9
"Hong Kong SAR, China",1960,12240853709.6698
Honduras,1960,2390313539.75817
Heavily indebted poor countries (HIPC),1960,108561102471.257
Haiti,1960,4122549413.56076
IBRD only,1960,2231203747645.54
IDA & IBRD total,1960,2501469196411.59
IDA total,1960,261467506592.092
IDA blend,1960,108717134681.95
Indonesia,1960,65238254668.6198
IDA only,1960,159020269864.094
India,1960,158834744856.639
"Iran, Islamic Rep.",1960,79042458028.9802
Iceland,1960,2223218638.70931
Israel,1960,22656971847.0822
Italy,1960,626952585229.25
Japan,1960,971582862679.811
Kenya,1960,4405575230.51634
"Korea, Rep.",1960,26213668655.8927
Latin America & Caribbean (excluding high income),1960,827283709681.96
Latin America & Caribbean,1960,903263467558.929
Sri Lanka,1960,6150691336.3611
Lower middle income,1960,566570991649.589
Low & middle income,1960,2381854241020.72
Lesotho,1960,254712875.346815
Late-demographic dividend,1960,1063643920136.26
Luxembourg,1960,8949735270.63142
Madagascar,1960,3811003848.33107
Mexico,1960,162201552099.831
Middle income,1960,2304074646293.46
Myanmar,1960,3485813551.97164
Mauritania,1960,788945356.427124
Malawi,1960,945702876.732628
Malaysia,1960,12645525594.8311
North America,1960,3797437527714.88
Niger,1960,2392215373.12118
Nigeria,1960,64386612352.7405
Nicaragua,1960,3182403361.99882
Netherlands,1960,201307886826.394
Norway,1960,90717226410.1182
Nepal,1960,2791171336.32931
OECD members,1960,10090042182297.4
Pakistan,1960,15153512114.6599
Panama,1960,2910481213.88798
Peru,1960,31901195760.3692
Philippines,1960,30798194686.6301
Papua New Guinea,1960,2579600981.49194
Puerto Rico,1960,15944674778.2522
Portugal,1960,44908647744.8968
Paraguay,1960,2868557529.59431
Post-demographic dividend,1960,9813168047273.84
Rwanda,1960,1038134651.43746
South Asia,1960,204546119848.708
Sudan,1960,9968414449.92661
Senegal,1960,4486847193.98068
Singapore,1960,6708521322.33417
Sierra Leone,1960,919379224.248252
Sub-Saharan Africa (excluding high income),1960,271355158108.412
Sub-Saharan Africa,1960,271467828052.526
Suriname,1960,1045383401.98342
Sweden,1960,149620019088.711
Seychelles,1960,121672505.535006
Chad,1960,2232740960.41821
East Asia & Pacific (IDA & IBRD countries),1960,228656608312.692
Togo,1960,654813796.01659
Thailand,1960,17723330987.9679
Latin America & the Caribbean (IDA & IBRD countries),1960,867940921697.018
South Asia (IDA & IBRD),1960,204546119848.708
Sub-Saharan Africa (IDA & IBRD countries),1960,271467828052.526
Trinidad and Tobago,1960,3980799420.11679
Turkey,1960,93150195819.4396
Upper middle income,1960,1732548486049.1
Uruguay,1960,14020350839.1178
United States,1960,3441682234966.81
St. Vincent and the Grenadines,1960,153761146.903231
"Venezuela, RB",1960,113593388603.365
World,1960,12553815997303.1
South Africa,1960,87183503348.5854
Zambia,1960,4539542515.26964
Zimbabwe,1960,4051224623.88733
Argentina,1961,114396100733.294
Australia,1961,219582762769.18
Austria,1961,103606918511.136
Burundi,1961,584898188.110763
Belgium,1961,139189019707.401
Benin,1961,1320076060.7892
Burkina Faso,1961,1257547788.94945
Bangladesh,1961,19886669277.8428
"Bahamas, The",1961,2624329421.19867
Belize,1961,113968846.937562
Bermuda,1961,1366169881.39142
Bolivia,1961,4232346168.42418
Brazil,1961,288700023271.673
Botswana,1961,246318588.140598
Central African Republic,1961,902744181.369777
Canada,1961,373362570571.785
Chile,1961,34039711620.9842
China,1961,97156093397.6387
Cote d'Ivoire,1961,5465111744.4671
Cameroon,1961,5355025994.71733
"Congo, Dem. Rep.",1961,18009455806.7541
"Congo, Rep.",1961,1622564856.43391
Colombia,1961,42937348905.9753
Costa Rica,1961,4448686869.07606
Denmark,1961,109184102458.095
Dominican Republic,1961,5322643104.27333
Algeria,1961,25568113635.8175
East Asia & Pacific (excluding high income),1961,242317693215.562
Early-demographic dividend,1961,1278380534113.85
East Asia & Pacific,1961,1620267000147.23
Ecuador,1961,11451951118.3708
"Egypt, Arab Rep.",1961,18595571337.1933
Euro area,1961,3446687609462.57
Spain,1961,302086989977.522
European Union,1961,4807458347200.46
Finland,1961,61828857088.9561
Fiji,1961,796151372.036741
France,1961,721077259044.247
Gabon,1961,2858765930.71952
United Kingdom,1961,782868561011.181
Ghana,1961,7877245110.79634
Greece,1961,70210810027.4557
Guatemala,1961,7280889127.61817
Guyana,1961,901813490.521489
High income,1961,10589859362388.4
"Hong Kong SAR, China",1961,14170417560.3394
Honduras,1961,2475897203.16122
Heavily indebted poor countries (HIPC),1961,111838131121.264
Haiti,1961,4044518105.35
IBRD only,1961,2336259351661.76
IDA & IBRD total,1961,2620662504915.81
IDA total,1961,275045388103.993
IDA blend,1961,117283407798.323
Indonesia,1961,63778855349.5246
IDA only,1961,163177866137.137
India,1961,168355860564.476
"Iran, Islamic Rep.",1961,84792366913.9433
Iceland,1961,2451840723.41058
Israel,1961,25080296524.705
Italy,1961,662122919812.893
Japan,1961,1053911319915.81
Kenya,1961,4792311612.73305
"Korea, Rep.",1961,28622797585.9405
Latin America & Caribbean (excluding high income),1961,846452638882.653
Latin America & Caribbean,1961,926621660879.826
Sri Lanka,1961,6305488774.10681
Lower middle income,1961,594965731210.884
Low & middle income,1961,2495559903320.02
Lesotho,1961,281750825.350669
Late-demographic dividend,1961,1103106263968.58
Luxembourg,1961,9257526380.66555
Madagascar,1961,3775584316.6825
Mexico,1961,175351048523.533
Middle income,1961,2415333559539.13
Myanmar,1961,3951145083.56489
Mauritania,1961,773294514.26393
Malawi,1961,932547407.179505
Malaysia,1961,13573555873.1824
North America,1961,3967844993758.53
Niger,1961,2617758924.35145
Nigeria,1961,69910094462.2709
